,Rank,Title,Lifetime Gross,Year,inflation_adjusted_gross
433,434,The Maze Runner,348319861,2014,348319861.0
434,435,The Smurfs 2,347545360,2013,347545360.0
435,436,National Treasure,347512318,2004,422375559.23182636
436,437,Rush Hour 2,347325802,2001,450276229.1608583
437,438,Trolls,347182886,2016,347182886.0
438,439,xXx: Return of Xander Cage,346118277,2017,346118277.0
439,440,Pocahontas,346079773,1995,521376898.96431756
440,441,How the Grinch Stole Christmas,345823032,2000,461085326.4170035
441,442,Star Trek Beyond,343471816,2016,343471816.0
442,443,Alvin and the Chipmunks: Chipwrecked,342695435,2011,349787345.4731727
443,444,Wanted,342463063,2008,365194467.7334826
444,445,The Flintstones,341631208,1994,529260968.7554117
445,446,A Quiet Place,340952971,2018,340952971.0
446,447,Enchanted,340487836,2007,377029083.4398433
447,448,Over the Hedge,339795890,2006,386979650.6381945
448,449,300: Rise of an Empire,337580051,2014,337580051.0
449,450,Batman Forever,336567158,1995,507045932.24312335
450,451,Prince of Persia: The Sands of Time,336365676,2009,359973062.994001
451,452,The Curious Case of Benjamin Button,335802786,2008,358092106.7002504
452,453,Journey 2: The Mysterious Island,335287748,2012,335287748.0
453,454,The Rock,335062621,1996,490301895.5122625
454,455,The Great Wall,334933831,2016,334933831.0
455,456,Now You See Me 2,334897606,2016,334897606.0
456,457,Never Say Die,334530869,2017,334530869.0
457,458,Fantastic Four,333535934,2005,392103682.69736814
458,459,Indiana Jones and the Temple of Doom,333107271,1984,736086917.9785755
459,460,Tomorrow Never Dies,333011068,1997,476369739.22985667
460,461,Back to the Future Part II,332500002,1989,615645205.3160323
461,462,The Good Dinosaur,332207671,2015,332207671.0
462,463,Free Guy,331526598,2021,331526598.0
463,464,22 Jump Street,331333876,2014,331333876.0
464,465,Meet the Parents,330444045,2000,440580546.2702091
465,466,Who Framed Roger Rabbit,329803958,1988,640076161.7333221
466,467,Black Swan,329398046,2010,346827489.14647615
467,468,The Perfect Storm,328718434,2000,438279791.7293613
468,469,John Wick: Chapter 3 - Parabellum,328349387,2019,328349387.0
469,470,Crocodile Dundee,328203506,1986,687532443.034343
470,471,Crazy Alien,327598891,2019,327598891.0
471,472,Se7en,327333559,1995,493135309.35069555
472,473,The Devil Wears Prada,326706115,2006,372072240.90927577
473,474,Taken 3,326479141,2015,326479141.0
474,475,The Hunchback of Notre Dame,325338851,1996,476072964.6685405
475,476,A Christmas Carol,325286646,2009,348116465.69926864
476,477,The SpongeBob Movie: Sponge Out of Water,325186032,2015,325186032.0
477,478,Schindler's List,322161245,1993,511877431.7268512
