,Rank,Title,Lifetime Gross,Year,inflation_adjusted_gross
197,198,The Day After Tomorrow,552639571,2004,671692586.8934568
198,199,Ted,549368315,2012,549368315.0
199,200,American Sniper,547459020,2014,547459020.0
200,201,Mission: Impossible II,546388108,2000,728498439.4201626
201,202,Detective Chinatown 2,544185156,2018,544185156.0
202,203,X-Men: Apocalypse,543934105,2016,543934105.0
203,204,Sherlock Holmes: A Game of Shadows,543848418,2011,555103088.7586945
204,205,Despicable Me,543157985,2010,571898110.6142
205,206,Cinderella,542358331,2015,542358331.0
206,207,Madagascar,542063846,2005,637248369.9873221
207,208,World War Z,540455876,2013,540455876.0
208,209,Brave,538983207,2012,538983207.0
209,210,Star Wars: Episode V - The Empire Strikes Back,538375067,1980,1500093266.174733
210,211,The Simpsons Movie,536414293,2007,593982421.2510827
211,212,The Revenant,532950503,2015,532950503.0
212,213,The Meg,530517320,2018,530517320.0
213,214,Ralph Breaks the Internet,529323962,2018,529323962.0
214,215,Hotel Transylvania 3: Summer Vacation,528583774,2018,528583774.0
215,216,The Boss Baby,527965936,2017,527965936.0
216,217,Dunkirk,527016307,2017,527016307.0
217,218,The Grinch,526760632,2018,526760632.0
218,219,Godzilla,524976069,2014,524976069.0
219,220,How to Train Your Dragon: The Hidden World,524580592,2019,524580592.0
220,221,Sherlock Holmes,524028679,2009,560806949.5067331
221,222,Meet the Fockers,522657936,2004,635252123.6526415
222,223,WALL·E,521311890,2008,555914604.4070914
223,224,Kung Fu Panda 3,521170825,2016,521170825.0
224,225,Terminator 2: Judgment Day,520881154,1991,878055709.7758884
225,226,Ant-Man,519311965,2015,519311965.0
226,227,Venom: Let There Be Carnage,506863592,2021,506863592.0
227,228,Ghost,505703557,1990,888343553.6790973
228,229,Aladdin,504050219,1992,824853214.4054596
229,230,Gladiator,503162313,2000,670865552.2120906
230,231,Rio 2,498781117,2014,498781117.0
231,232,Troy,497409852,2004,604564942.0862255
232,233,Toy Story 2,497375381,1999,685440595.5901201
233,234,How to Train Your Dragon,494879471,2010,521065034.9670451
234,235,Twister,494580615,1996,723726843.3416826
235,236,Oz the Great and Powerful,493311825,2013,493311825.0
236,237,Clash of the Titans,493214993,2010,519312484.4207084
237,238,Maleficent: Mistress of Evil,491730089,2019,491730089.0
238,239,War for the Planet of the Apes,490719763,2017,490719763.0
239,240,Shrek,488441368,2001,633219691.9513947
240,241,Mr. & Mrs. Smith,487287646,2005,572853659.9883461
241,242,Angels & Demons,485930816,2009,520035237.59866124
242,243,Teenage Mutant Ninja Turtles,485004754,2014,485004754.0
243,244,Bruce Almighty,484592874,2003,604671827.7888912
244,245,The King's Speech,484068861,2010,509682403.01772934
245,246,Rio,483866772,2011,493880152.62167966
246,247,Saving Private Ryan,482349603,1998,679414569.0256563
247,248,Rise of the Planet of the Apes,481800873,2011,491771500.87606865
248,249,Puss in Boots: The Last Wish,481420587,2022,481420587.0
249,250,Home Alone,476684675,1990,837367569.0279266
250,251,Jaws,476512065,1975,2033537380.14145
251,252,Hotel Transylvania 2,475186706,2015,475186706.0
252,253,Star Wars: Episode VI - Return of the Jedi,475106177,1983,1095196060.2624297
253,254,Charlie and the Chocolate Factory,474968763,2005,558371624.0257143
254,255,Ant-Man and the Wasp: Quantumania,474516536,2023,474516536.0
255,256,Indiana Jones and the Last Crusade,474171806,1989,877959690.5384192
256,257,San Andreas,474009154,2015,474009154.0
257,258,It Chapter Two,473122525,2019,473122525.0
258,259,La La Land,471979503,2016,471979503.0
259,260,Wreck-It Ralph,471222889,2012,471222889.0
260,261,Godzilla vs. Kong,470116094,2021,470116094.0
261,262,The Hangover,469328079,2009,502267259.1204594
262,263,Lucy,469058574,2014,469058574.0
263,264,The Lego Movie,468266122,2014,468266122.0
264,265,Bumblebee,467989645,2018,467989645.0
265,266,Star Trek Into Darkness,467365246,2013,467365246.0
266,267,The Matrix,467222728,1999,643886764.7805042
267,268,Pretty Woman,463406268,1990,814042071.1185311
268,269,Cars,461991867,2006,526143654.32538694
269,270,The Eight Hundred,461421559,2020,461421559.0
270,271,X-Men: The Last Stand,460435291,2006,524370933.5409425
271,272,Moon Man,460237662,2022,460237662.0
272,273,National Treasure: Book of Secrets,459242249,2007,508528252.43754756
273,274,Mission: Impossible,457696391,1996,669753634.1316379
274,275,300,456082343,2007,505029224.4636494
275,276,The Last Samurai,454627263,2003,567280933.8109891
276,277,Demon Slayer the Movie: Mugen Train,453210959,2020,453210959.0
277,278,Dying to Survive,451183391,2018,451183391.0
278,279,Ocean's Eleven,450717150,2001,584313683.4392998
279,280,"My People, My Country",450064993,2019,450064993.0
280,281,Pokémon: Detective Pikachu,449762638,2019,449762638.0
281,282,Thor,449326618,2011,458625207.4255331
282,283,Pearl Harbor,449220945,2001,582373990.0978544
283,284,Tarzan,448191819,1999,617659978.9404922
284,285,Men in Black II,445135288,2002,568095560.3839465
285,286,The Bourne Ultimatum,444100035,2007,491760971.9004832
286,287,The Mummy Returns,443280904,2001,574673268.6221118
287,288,Alvin and the Chipmunks: The Squeakquel,443140005,2009,474241209.2458177
288,289,Les Misérables,442299309,2012,442299309.0
289,290,The Exorcist,441306145,1973,2282009978.7191443
290,291,Mrs. Doubtfire,441286195,1993,701153374.77391
291,292,Terminator Genisys,440603537,2015,440603537.0
292,293,Warcraft,439048914,2016,439048914.0
293,294,A Star Is Born,436233122,2018,436233122.0
294,295,The Greatest Showman,435732529,2017,435732529.0
295,296,Terminator 3: Rise of the Machines,433371112,2003,540757647.2202609
296,297,Shang-Chi and the Legend of the Ten Rings,432243292,2021,432243292.0
297,298,Die Another Day,431971116,2002,551295032.8343745
298,299,The Secret Life of Pets 2,431058542,2019,431058542.0
299,300,Cast Away,429632142,2000,572827886.2389547
300,301,Rampage,428028233,2018,428028233.0
301,302,The Matrix Revolutions,427344325,2003,533237461.7067935
302,303,The Intouchables,426588510,2011,435416545.6632243
303,304,Bad Boys for Life,426505244,2020,426505244.0
304,305,Django Unchained,426074373,2012,426074373.0
305,306,Beauty and the Beast,424967620,1991,716373096.5218797
306,307,Dances with Wolves,424208848,1990,745185969.7606121
307,308,"My People, My Homeland",422390820,2020,422390820.0
308,309,The Chronicles of Narnia: Prince Caspian,419665568,2008,447521383.44283175
309,310,Sex and the City,418765519,2008,446561592.58944833
310,311,The Captain,417282021,2019,417282021.0
311,312,The Mummy,415933406,1999,573204168.1702521
312,313,The Chronicles of Narnia: The Voyage of the Dawn Treader,415686217,2010,437681427.27509445
313,314,Jason Bourne,415484914,2016,415484914.0
314,315,Mad Max: Fury Road,415261382,2015,415261382.0
315,316,The Wolverine,414828246,2013,414828246.0
316,317,Kingsman: The Secret Service,414351546,2015,414351546.0
